[03: 25: 07] [ip]: ::ffff:192.168.0.123 - [method]: OPTIONS [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 30.183 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[03: 25: 07] [ip]: ::ffff:192.168.0.123 - [method]: POST [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 409.079 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[03: 25: 07] [ip]: ::ffff:192.168.0.123 - [method]: POST [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 805.998 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[03: 25: 07] [ip]: ::ffff:192.168.0.123 - [method]: OPTIONS [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 200 [response-time]: 2.693 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[03: 25: 07] [ip]: ::ffff:192.168.0.123 - [method]: GET [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 200 [response-time]: 45.623 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[03: 25: 07] [ip]: ::ffff:192.168.0.123 - [method]: OPTIONS [url]: /api/v1/plan/get_plan_researchar HTTP/1.1 [status]: 200 [response-time]: 1.721 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[03: 25: 07] [ip]: ::ffff:192.168.0.123 - [method]: POST [url]: /api/v1/plan/get_plan_researchar HTTP/1.1 [status]: 200 [response-time]: 35.437 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[04: 08: 35] [ip]: ::ffff:192.168.0.123 - [method]: OPTIONS [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 3.075 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[04: 08: 35] [ip]: ::ffff:192.168.0.123 - [method]: POST [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 163.368 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[04: 08: 35] [ip]: ::ffff:192.168.0.123 - [method]: OPTIONS [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 200 [response-time]: 1.610 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[04: 08: 35] [ip]: ::ffff:192.168.0.123 - [method]: GET [url]: /api/v1/product/get_researcher_product HTTP/1.1 [status]: 304 [response-time]: 60.491 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
