[03: 27: 29] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/user/get_user HTTP/1.1 [status]: 200 [response-time]: 14.851 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[03: 37: 09] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/user_register HTTP/1.1 [status]: 200 [response-time]: 295.571 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 02: 22] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 328.087 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 02: 22] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 219.134 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 02: 22] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 404 [response-time]: 1.944 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 02: 22] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 404 [response-time]: 0.525 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 02: 22] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 404 [response-time]: 0.133 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 05: 07] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 404 [response-time]: 2.017 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 07: 06] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 404 [response-time]: 1.977 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 11: 21] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 404 [response-time]: 1.862 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 11: 21] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 404 [response-time]: 0.953 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 16: 10] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 26.045 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 16: 10] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 1.366 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 16: 10] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 2.994 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 18: 17] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 6.688 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 19: 15] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 9.456 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 19: 27] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 6.702 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 19: 45] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 6.664 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 19: 45] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 1.299 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 19: 45] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 0.854 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 19: 45] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 0.809 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 19: 45] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 2.206 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
