[04: 47: 01] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/logistic/add_logistic HTTP/1.1 [status]: 200 [response-time]: 63.399 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 04: 35] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/admin/admin_get_all_user HTTP/1.1 [status]: 200 [response-time]: 90.970 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 05: 32] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/admin/admin_get_all_user HTTP/1.1 [status]: 200 [response-time]: 14.494 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 06: 01] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/admin/admin_get_all_user HTTP/1.1 [status]: 200 [response-time]: 17.391 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 10: 07] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/admin/admin_get_all_user HTTP/1.1 [status]: 200 [response-time]: 38.700 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 10: 46] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/admin/admin_get_all_user HTTP/1.1 [status]: 200 [response-time]: 12.785 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 11: 03] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/admin/admin_get_all_user HTTP/1.1 [status]: 200 [response-time]: 12.550 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 11: 23] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/admin/admin_get_all_user HTTP/1.1 [status]: 200 [response-time]: 17.448 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 11: 31] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/admin/admin_get_all_user HTTP/1.1 [status]: 200 [response-time]: 16.644 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 11: 36] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/admin/admin_get_all_user HTTP/1.1 [status]: 200 [response-time]: 20.221 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 13: 12] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/admin/admin_get_all_user HTTP/1.1 [status]: 200 [response-time]: 18.363 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 13: 26] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 261.915 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 13: 26] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/se/get_user_se HTTP/1.1 [status]: 404 [response-time]: 3.646 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
