[08: 09: 51] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/researcher_add_product HTTP/1.1 [status]: 500 [response-time]: 21.394 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[08: 10: 13] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/researcher_add_product HTTP/1.1 [status]: 500 [response-time]: 13.285 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[08: 10: 31] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/researcher_add_product_plan HTTP/1.1 [status]: 500 [response-time]: 13.267 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[08: 10: 31] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/researcher_add_product_plan HTTP/1.1 [status]: 500 [response-time]: 0.528 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[08: 10: 57] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/researcher_add_product_plan HTTP/1.1 [status]: 500 [response-time]: 15.534 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[08: 11: 40] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/researcher_add_product_plan HTTP/1.1 [status]: 500 [response-time]: 14.230 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[08: 12: 06] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/researcher_add_product_plan HTTP/1.1 [status]: 200 [response-time]: 16.877 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[08: 22: 32] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/researcher_upadate_product_plan HTTP/1.1 [status]: 404 [response-time]: 1.851 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[08: 23: 00] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/researcher_upadate_product_plan HTTP/1.1 [status]: 404 [response-time]: 1.782 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[08: 23: 00] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/researcher_update_product_plan HTTP/1.1 [status]: 500 [response-time]: 2.994 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[08: 23: 00] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/researcher_update_product_plan HTTP/1.1 [status]: 500 [response-time]: 0.581 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[08: 23: 48] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/researcher_add_product_plan HTTP/1.1 [status]: 200 [response-time]: 56.058 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[08: 23: 48] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/researcher_update_product_plan HTTP/1.1 [status]: 500 [response-time]: 1.972 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[08: 25: 21] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/researcher_update_product_plan HTTP/1.1 [status]: 500 [response-time]: 15.370 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[08: 25: 27] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/researcher_update_product_plan HTTP/1.1 [status]: 500 [response-time]: 14.687 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[08: 26: 00] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/researcher_update_product_plan HTTP/1.1 [status]: 200 [response-time]: 15.720 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[08: 26: 00] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/researcher_update_product_plan HTTP/1.1 [status]: 200 [response-time]: 4.294 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[08: 26: 45] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/researcher_update_product_plan HTTP/1.1 [status]: 200 [response-time]: 16.996 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
