[14: 48: 04] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /favicon.ico HTTP/1.1 [status]: 404 [response-time]: 2.919 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.95
[14: 48: 04] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/send_analytics/manual/manual.pdf HTTP/1.1 [status]: 200 [response-time]: 90.596 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.95
[14: 48: 04] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/send_analytics/manual/manual.pdf HTTP/1.1 [status]: 304 [response-time]: 3.170 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.95
[14: 48: 04] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/send_analytics/manual/manual.pdf HTTP/1.1 [status]: 304 [response-time]: 0.633 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.95
[14: 48: 04] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/send_analytics/manual/manual.pdf HTTP/1.1 [status]: 304 [response-time]: 0.703 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.95
[14: 48: 04] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/send_analytics/manual/manual.pdf HTTP/1.1 [status]: 304 [response-time]: 0.401 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.95
[14: 48: 04] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 5.343 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.95
[14: 48: 04] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 129.013 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.95
[14: 48: 04] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/send_analytics/get_plan_status HTTP/1.1 [status]: 200 [response-time]: 0.551 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.95
[14: 48: 04] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/send_analytics/manual/manual.pdf HTTP/1.1 [status]: 304 [response-time]: 0.443 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.95
[14: 48: 04] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/send_analytics/get_plan_status HTTP/1.1 [status]: 200 [response-time]: 14.105 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.95
[14: 48: 04] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/send_analytics/get_plan_status HTTP/1.1 [status]: 200 [response-time]: 0.231 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.95
[14: 48: 04] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/send_analytics/manual/manual.pdf HTTP/1.1 [status]: 304 [response-time]: 0.525 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.95
