[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 29.577 ms [client]: PostmanRuntime/7.4.0
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: POST [url]: /api/v1/graph/get_chart_logistic HTTP/1.1 [status]: 200 [response-time]: 58.825 ms [client]: PostmanRuntime/7.4.0
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: POST [url]: /api/v1/graph/get_chart_logistic HTTP/1.1 [status]: 200 [response-time]: 38.496 ms [client]: PostmanRuntime/7.4.0
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: OPTIONS [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 200 [response-time]: 1.260 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: GET [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 200 [response-time]: 39.311 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: POST [url]: /api/v1/graph/get_chart_logistic HTTP/1.1 [status]: 200 [response-time]: 73.393 ms [client]: PostmanRuntime/7.4.0
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 12.873 ms [client]: PostmanRuntime/7.4.0
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: OPTIONS [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 200 [response-time]: 0.398 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: GET [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 304 [response-time]: 52.138 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 200 [response-time]: 24.897 ms [client]: PostmanRuntime/7.4.0
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: OPTIONS [url]: /api/v1/graph/get_chart_logistic HTTP/1.1 [status]: 200 [response-time]: 0.388 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: POST [url]: /api/v1/graph/get_chart_logistic HTTP/1.1 [status]: 200 [response-time]: 24.351 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: OPTIONS [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 200 [response-time]: 0.359 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: GET [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 304 [response-time]: 27.210 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: OPTIONS [url]: /api/v1/graph/get_chart_logistic HTTP/1.1 [status]: 200 [response-time]: 0.295 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: POST [url]: /api/v1/graph/get_chart_logistic HTTP/1.1 [status]: 200 [response-time]: 60.996 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: OPTIONS [url]: /api/v1/graph/get_chart_logistic HTTP/1.1 [status]: 200 [response-time]: 0.419 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: POST [url]: /api/v1/graph/get_chart_logistic HTTP/1.1 [status]: 200 [response-time]: 75.949 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: POST [url]: /api/v1/graph/get_chart_logistic HTTP/1.1 [status]: 200 [response-time]: 55.339 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: OPTIONS [url]: /api/v1/graph/get_chart_logistic HTTP/1.1 [status]: 200 [response-time]: 0.460 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: POST [url]: /api/v1/graph/get_chart_logistic HTTP/1.1 [status]: 200 [response-time]: 77.105 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: OPTIONS [url]: /api/v1/graph/get_chart_logistic HTTP/1.1 [status]: 200 [response-time]: 0.746 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
