[15: 36: 31] [ip]: ::ffff:192.168.224.87 - [method]: GET [url]: /api/v1/graph/get_allname_peichart HTTP/1.1 [status]: 200 [response-time]: 20.950 ms [client]: PostmanRuntime/7.4.0
[15: 36: 31] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/se/get_all_chart HTTP/1.1 [status]: 200 [response-time]: 33.985 ms [client]: PostmanRuntime/7.4.0
[15: 36: 31] [ip]: ::ffff:192.168.224.87 - [method]: OPTIONS [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 200 [response-time]: 1.204 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 36: 31] [ip]: ::ffff:192.168.224.87 - [method]: GET [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 200 [response-time]: 29.336 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 36: 31] [ip]: ::ffff:192.168.224.87 - [method]: OPTIONS [url]: /api/v1/graph/get_chart_logistic HTTP/1.1 [status]: 200 [response-time]: 0.287 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 36: 31] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_chart_logistic HTTP/1.1 [status]: 200 [response-time]: 23.458 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 36: 31] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_chart_logistic HTTP/1.1 [status]: 200 [response-time]: 55.299 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 36: 31] [ip]: ::ffff:192.168.224.87 - [method]: OPTIONS [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 200 [response-time]: 0.353 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 36: 31] [ip]: ::ffff:192.168.224.87 - [method]: GET [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 304 [response-time]: 46.401 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 36: 31] [ip]: ::ffff:192.168.224.87 - [method]: OPTIONS [url]: /api/v1/graph/get_allname_peichart HTTP/1.1 [status]: 200 [response-time]: 0.599 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 36: 31] [ip]: ::ffff:192.168.224.87 - [method]: GET [url]: /api/v1/graph/get_allname_peichart HTTP/1.1 [status]: 200 [response-time]: 10.173 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 36: 31] [ip]: ::ffff:192.168.224.87 - [method]: OPTIONS [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 0.663 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 36: 31] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 6.751 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
